County,Candidate Name,Party,Votes,% of Vote
PHILADELPHIA,"VOGLER, WALTER  F",REP,"3,632",31.57
PHILADELPHIA,"WOLFE, J.   MATTHEW",REP,"4,191",36.43
PHILADELPHIA,"COHEN, AARON",REP,"3,680",31.99
