County,Candidate Name,Party,Votes,% of Vote
LACKAWANNA,"GEREDA, RODRIGO",DEM,"5,789",4.20
LUZERNE,"GEREDA, RODRIGO",DEM,"5,669",4.94
MONROE,"GEREDA, RODRIGO",DEM,"2,297",5.64
PIKE,"GEREDA, RODRIGO",DEM,"1,017",5.45
WAYNE,"GEREDA, RODRIGO",DEM,794,4.97
LACKAWANNA,"ROSATO, GEMMA  T",DEM,"7,361",5.34
LUZERNE,"ROSATO, GEMMA  T",DEM,"6,590",5.74
MONROE,"ROSATO, GEMMA  T",DEM,"2,621",6.43
PIKE,"ROSATO, GEMMA  T",DEM,"1,178",6.31
WAYNE,"ROSATO, GEMMA  T",DEM,983,6.15
LACKAWANNA,"PETRYK, ALLISON",DEM,"7,579",5.50
LUZERNE,"PETRYK, ALLISON",DEM,"7,489",6.53
MONROE,"PETRYK, ALLISON",DEM,"2,559",6.28
PIKE,"PETRYK, ALLISON",DEM,"1,159",6.21
WAYNE,"PETRYK, ALLISON",DEM,"1,033",6.47
LACKAWANNA,"SAMPSON, ROBIN",DEM,"23,458",17.03
LUZERNE,"SAMPSON, ROBIN",DEM,"19,010",16.56
MONROE,"SAMPSON, ROBIN",DEM,"6,936",17.03
PIKE,"SAMPSON, ROBIN",DEM,"3,164",16.95
WAYNE,"SAMPSON, ROBIN",DEM,"2,767",17.32
LACKAWANNA,"FRATZOLA, JESSICA  K",DEM,"7,681",5.58
LUZERNE,"FRATZOLA, JESSICA  K",DEM,"6,781",5.91
MONROE,"FRATZOLA, JESSICA  K",DEM,"2,452",6.02
PIKE,"FRATZOLA, JESSICA  K",DEM,"1,105",5.92
WAYNE,"FRATZOLA, JESSICA  K",DEM,"1,028",6.44
LACKAWANNA,"BOLAND, ROSEMARY",DEM,"24,202",17.57
LUZERNE,"BOLAND, ROSEMARY",DEM,"19,497",16.99
MONROE,"BOLAND, ROSEMARY",DEM,"7,023",17.24
PIKE,"BOLAND, ROSEMARY",DEM,"3,215",17.23
WAYNE,"BOLAND, ROSEMARY",DEM,"2,645",16.56
LACKAWANNA,"SHAFFER, MARK  ROBERT",DEM,"6,675",4.85
LUZERNE,"SHAFFER, MARK  ROBERT",DEM,"6,774",5.90
MONROE,"SHAFFER, MARK  ROBERT",DEM,"2,116",5.19
PIKE,"SHAFFER, MARK  ROBERT",DEM,904,4.84
WAYNE,"SHAFFER, MARK  ROBERT",DEM,872,5.46
LACKAWANNA,"CORCORAN, JOHN  J",DEM,"24,170",17.55
LUZERNE,"CORCORAN, JOHN  J",DEM,"19,327",16.84
MONROE,"CORCORAN, JOHN  J",DEM,"6,486",15.92
PIKE,"CORCORAN, JOHN  J",DEM,"3,022",16.19
WAYNE,"CORCORAN, JOHN  J",DEM,"2,549",15.96
LACKAWANNA,"CONNORS, JAMES  P",DEM,"25,398",18.44
LUZERNE,"CONNORS, JAMES  P",DEM,"19,000",16.56
MONROE,"CONNORS, JAMES  P",DEM,"6,398",15.71
PIKE,"CONNORS, JAMES  P",DEM,"3,004",16.10
WAYNE,"CONNORS, JAMES  P",DEM,"2,537",15.88
LACKAWANNA,"LOTORTO, ALEXANDER  JOHN",DEM,"5,422",3.94
LUZERNE,"LOTORTO, ALEXANDER  JOHN",DEM,"4,625",4.03
MONROE,"LOTORTO, ALEXANDER  JOHN",DEM,"1,849",4.54
PIKE,"LOTORTO, ALEXANDER  JOHN",DEM,896,4.80
WAYNE,"LOTORTO, ALEXANDER  JOHN",DEM,767,4.80
