County,Candidate Name,Party,Votes,% of Vote
ADAMS,"GEESAMAN, BENNETT  P",DEM,"2,047",13.46
BEDFORD,"GEESAMAN, BENNETT  P",DEM,188,13.47
BLAIR,"GEESAMAN, BENNETT  P",DEM,"2,374",14.10
CAMBRIA,"GEESAMAN, BENNETT  P",DEM,"1,585",14.14
CUMBERLAND,"GEESAMAN, BENNETT  P",DEM,981,15.19
FRANKLIN,"GEESAMAN, BENNETT  P",DEM,809,15.94
FULTON,"GEESAMAN, BENNETT  P",DEM,221,14.50
HUNTINGDON,"GEESAMAN, BENNETT  P",DEM,741,14.12
SOMERSET,"GEESAMAN, BENNETT  P",DEM,"1,439",14.00
WESTMORELAND,"GEESAMAN, BENNETT  P",DEM,"1,097",13.40
ADAMS,"BARBIN, TAMMY",DEM,"5,712",37.56
BEDFORD,"BARBIN, TAMMY",DEM,450,32.23
BLAIR,"BARBIN, TAMMY",DEM,"5,443",32.33
CAMBRIA,"BARBIN, TAMMY",DEM,"3,876",34.58
CUMBERLAND,"BARBIN, TAMMY",DEM,"2,156",33.37
FRANKLIN,"BARBIN, TAMMY",DEM,"1,755",34.58
FULTON,"BARBIN, TAMMY",DEM,243,15.94
HUNTINGDON,"BARBIN, TAMMY",DEM,"1,808",34.46
SOMERSET,"BARBIN, TAMMY",DEM,"3,715",36.15
WESTMORELAND,"BARBIN, TAMMY",DEM,"2,979",36.38
ADAMS,"MORGAN, SHERI  A",DEM,"2,775",18.25
BEDFORD,"MORGAN, SHERI  A",DEM,289,20.70
BLAIR,"MORGAN, SHERI  A",DEM,"3,234",19.21
CAMBRIA,"MORGAN, SHERI  A",DEM,"2,068",18.45
CUMBERLAND,"MORGAN, SHERI  A",DEM,"1,265",19.58
FRANKLIN,"MORGAN, SHERI  A",DEM,"1,001",19.72
FULTON,"MORGAN, SHERI  A",DEM,433,28.41
HUNTINGDON,"MORGAN, SHERI  A",DEM,"1,024",19.52
SOMERSET,"MORGAN, SHERI  A",DEM,"1,875",18.25
WESTMORELAND,"MORGAN, SHERI  A",DEM,"1,484",18.12
ADAMS,"MOSES, MARINA  R",DEM,"2,668",17.54
BEDFORD,"MOSES, MARINA  R",DEM,243,17.41
BLAIR,"MOSES, MARINA  R",DEM,"3,283",19.50
CAMBRIA,"MOSES, MARINA  R",DEM,"2,035",18.16
CUMBERLAND,"MOSES, MARINA  R",DEM,"1,185",18.34
FRANKLIN,"MOSES, MARINA  R",DEM,847,16.69
FULTON,"MOSES, MARINA  R",DEM,275,18.04
HUNTINGDON,"MOSES, MARINA  R",DEM,929,17.71
SOMERSET,"MOSES, MARINA  R",DEM,"1,760",17.13
WESTMORELAND,"MOSES, MARINA  R",DEM,"1,403",17.13
ADAMS,"MORGAN, CHARLES  E",DEM,"2,005",13.18
BEDFORD,"MORGAN, CHARLES  E",DEM,226,16.19
BLAIR,"MORGAN, CHARLES  E",DEM,"2,502",14.86
CAMBRIA,"MORGAN, CHARLES  E",DEM,"1,645",14.68
CUMBERLAND,"MORGAN, CHARLES  E",DEM,873,13.51
FRANKLIN,"MORGAN, CHARLES  E",DEM,663,13.06
FULTON,"MORGAN, CHARLES  E",DEM,352,23.10
HUNTINGDON,"MORGAN, CHARLES  E",DEM,745,14.20
SOMERSET,"MORGAN, CHARLES  E",DEM,"1,487",14.47
WESTMORELAND,"MORGAN, CHARLES  E",DEM,"1,226",14.97
