County,Candidate Name,Party,Votes,% of Vote
BERKS,"BURCHIK, LEANNE",DEM,"12,878",24.52
CARBON,"BURCHIK, LEANNE",DEM,"3,832",24.94
COLUMBIA,"BURCHIK, LEANNE",DEM,"3,050",23.06
LEBANON,"BURCHIK, LEANNE",DEM,"6,737",25.40
LUZERNE,"BURCHIK, LEANNE",DEM,"2,846",22.61
MONTOUR,"BURCHIK, LEANNE",DEM,"1,052",24.29
NORTHUMBERLAND,"BURCHIK, LEANNE",DEM,"1,549",24.82
SCHUYLKILL,"BURCHIK, LEANNE",DEM,"7,171",24.02
BERKS,"BETTINGER, ELIZABETH  A",DEM,"13,234",25.20
CARBON,"BETTINGER, ELIZABETH  A",DEM,"3,863",25.15
COLUMBIA,"BETTINGER, ELIZABETH  A",DEM,"3,082",23.31
LEBANON,"BETTINGER, ELIZABETH  A",DEM,"6,721",25.34
LUZERNE,"BETTINGER, ELIZABETH  A",DEM,"2,780",22.09
MONTOUR,"BETTINGER, ELIZABETH  A",DEM,"1,092",25.21
NORTHUMBERLAND,"BETTINGER, ELIZABETH  A",DEM,"1,515",24.27
SCHUYLKILL,"BETTINGER, ELIZABETH  A",DEM,"7,552",25.30
BERKS,"DEMELFI, VINCENT  J",DEM,"11,562",22.02
CARBON,"DEMELFI, VINCENT  J",DEM,"3,511",22.86
COLUMBIA,"DEMELFI, VINCENT  J",DEM,"2,986",22.58
LEBANON,"DEMELFI, VINCENT  J",DEM,"5,978",22.54
LUZERNE,"DEMELFI, VINCENT  J",DEM,"2,695",21.41
MONTOUR,"DEMELFI, VINCENT  J",DEM,994,22.95
NORTHUMBERLAND,"DEMELFI, VINCENT  J",DEM,"1,360",21.79
SCHUYLKILL,"DEMELFI, VINCENT  J",DEM,"6,481",21.71
BERKS,"SAFFORD, JAMES  R",DEM,"4,750",9.05
CARBON,"SAFFORD, JAMES  R",DEM,"1,393",9.07
COLUMBIA,"SAFFORD, JAMES  R",DEM,"1,285",9.72
LEBANON,"SAFFORD, JAMES  R",DEM,"2,357",8.89
LUZERNE,"SAFFORD, JAMES  R",DEM,"1,433",11.38
MONTOUR,"SAFFORD, JAMES  R",DEM,391,9.03
NORTHUMBERLAND,"SAFFORD, JAMES  R",DEM,614,9.84
SCHUYLKILL,"SAFFORD, JAMES  R",DEM,"2,846",9.53
BERKS,"BACK, PHILA  S",DEM,"3,925",7.47
CARBON,"BACK, PHILA  S",DEM,"1,021",6.65
COLUMBIA,"BACK, PHILA  S",DEM,"1,085",8.20
LEBANON,"BACK, PHILA  S",DEM,"1,798",6.78
LUZERNE,"BACK, PHILA  S",DEM,"1,318",10.47
MONTOUR,"BACK, PHILA  S",DEM,316,7.30
NORTHUMBERLAND,"BACK, PHILA  S",DEM,463,7.42
SCHUYLKILL,"BACK, PHILA  S",DEM,"2,077",6.96
BERKS,"MAHON, CATHERINE  J",DEM,"6,161",11.73
CARBON,"MAHON, CATHERINE  J",DEM,"1,742",11.34
COLUMBIA,"MAHON, CATHERINE  J",DEM,"1,736",13.13
LEBANON,"MAHON, CATHERINE  J",DEM,"2,934",11.06
LUZERNE,"MAHON, CATHERINE  J",DEM,"1,515",12.04
MONTOUR,"MAHON, CATHERINE  J",DEM,486,11.22
NORTHUMBERLAND,"MAHON, CATHERINE  J",DEM,741,11.87
SCHUYLKILL,"MAHON, CATHERINE  J",DEM,"3,725",12.48
