County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
BERKS,"WEGMAN, GARY  STEVEN",DEM,0,0,0,0,0.00
CARBON,"WEGMAN, GARY  STEVEN",DEM,0,0,0,0,0.00
COLUMBIA,"WEGMAN, GARY  STEVEN",DEM,0,0,0,0,0.00
LEBANON,"WEGMAN, GARY  STEVEN",DEM,0,0,0,0,0.00
LUZERNE,"WEGMAN, GARY  STEVEN",DEM,0,0,0,0,0.00
MONTOUR,"WEGMAN, GARY  STEVEN",DEM,0,0,0,0,0.00
NORTHUMBERLAND,"WEGMAN, GARY  STEVEN",DEM,0,0,0,0,0.00
SCHUYLKILL,"WEGMAN, GARY  STEVEN",DEM,0,0,0,0,0.00
BERKS,"MEUSER, DANIEL  PHILIP",REP,0,0,0,0,0.00
CARBON,"MEUSER, DANIEL  PHILIP",REP,0,0,0,0,0.00
COLUMBIA,"MEUSER, DANIEL  PHILIP",REP,0,0,0,0,0.00
LEBANON,"MEUSER, DANIEL  PHILIP",REP,0,0,0,0,0.00
LUZERNE,"MEUSER, DANIEL  PHILIP",REP,0,0,0,0,0.00
MONTOUR,"MEUSER, DANIEL  PHILIP",REP,0,0,0,0,0.00
NORTHUMBERLAND,"MEUSER, DANIEL  PHILIP",REP,0,0,0,0,0.00
SCHUYLKILL,"MEUSER, DANIEL  PHILIP",REP,0,0,0,0,0.00
