County,Candidate Name,Party,Votes,% of Vote
BUTLER,"LANDER, JORDAN  C",DEM,"3,665",12.52
CRAWFORD,"LANDER, JORDAN  C",DEM,"1,588",12.71
ERIE,"LANDER, JORDAN  C",DEM,"11,728",13.59
LAWRENCE,"LANDER, JORDAN  C",DEM,"2,596",13.05
MERCER,"LANDER, JORDAN  C",DEM,"2,544",13.00
BUTLER,"DINICOLA, RONALD  A",DEM,"8,821",30.13
CRAWFORD,"DINICOLA, RONALD  A",DEM,"3,915",31.34
ERIE,"DINICOLA, RONALD  A",DEM,"27,421",31.78
LAWRENCE,"DINICOLA, RONALD  A",DEM,"6,027",30.29
MERCER,"DINICOLA, RONALD  A",DEM,"7,050",36.04
BUTLER,"VALVANO, ANGELA  M",DEM,"4,627",15.80
CRAWFORD,"VALVANO, ANGELA  M",DEM,"1,865",14.93
ERIE,"VALVANO, ANGELA  M",DEM,"12,770",14.80
LAWRENCE,"VALVANO, ANGELA  M",DEM,"3,324",16.71
MERCER,"VALVANO, ANGELA  M",DEM,"2,791",14.27
BUTLER,"PRUVEADENTI, REBECCA  J",DEM,"4,207",14.37
CRAWFORD,"PRUVEADENTI, REBECCA  J",DEM,"1,791",14.33
ERIE,"PRUVEADENTI, REBECCA  J",DEM,"12,637",14.65
LAWRENCE,"PRUVEADENTI, REBECCA  J",DEM,"2,803",14.09
MERCER,"PRUVEADENTI, REBECCA  J",DEM,"2,516",12.86
BUTLER,"WINKLER, DANE  ANDREW",DEM,"3,531",12.06
CRAWFORD,"WINKLER, DANE  ANDREW",DEM,"1,524",12.20
ERIE,"WINKLER, DANE  ANDREW",DEM,"9,833",11.40
LAWRENCE,"WINKLER, DANE  ANDREW",DEM,"2,258",11.35
MERCER,"WINKLER, DANE  ANDREW",DEM,"1,910",9.76
BUTLER,"TAYLOR, MARGARET  H",DEM,"4,425",15.11
CRAWFORD,"TAYLOR, MARGARET  H",DEM,"1,811",14.49
ERIE,"TAYLOR, MARGARET  H",DEM,"11,890",13.78
LAWRENCE,"TAYLOR, MARGARET  H",DEM,"2,888",14.52
MERCER,"TAYLOR, MARGARET  H",DEM,"2,751",14.06
