County,Candidate Name,Party,Votes,% of Vote
CENTRE,"BUCKLAND, PETER  DAWSON",DEM,"7,180",100.00
MIFFLIN,"BUCKLAND, PETER  DAWSON",DEM,543,100.00
CENTRE,"BENNINGHOFF, KERRY  A",REP,"6,673",100.00
MIFFLIN,"BENNINGHOFF, KERRY  A",REP,"2,122",100.00
