County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
ADAMS,"STERNER, RICHARD  L",DEM,0,0,0,0,0.00
CUMBERLAND,"STERNER, RICHARD  L",DEM,0,0,0,0,0.00
FRANKLIN,"STERNER, RICHARD  L",DEM,0,0,0,0,0.00
YORK,"STERNER, RICHARD  L",DEM,0,0,0,0,0.00
ADAMS,"MASTRIANO, DOUGLAS  VINCENT",REP,0,0,0,0,0.00
CUMBERLAND,"MASTRIANO, DOUGLAS  VINCENT",REP,0,0,0,0,0.00
FRANKLIN,"MASTRIANO, DOUGLAS  VINCENT",REP,0,0,0,0,0.00
YORK,"MASTRIANO, DOUGLAS  VINCENT",REP,0,0,0,0,0.00
