County,Candidate Name,Party,Votes,% of Vote
BRADFORD,"ROMMEL, NANCI  ALLAN",DEM,"2,009",20.31
CENTRE,"ROMMEL, NANCI  ALLAN",DEM,"7,488",18.41
CLINTON,"ROMMEL, NANCI  ALLAN",DEM,"1,910",19.52
JUNIATA,"ROMMEL, NANCI  ALLAN",DEM,677,18.15
LYCOMING,"ROMMEL, NANCI  ALLAN",DEM,"4,770",19.62
MIFFLIN,"ROMMEL, NANCI  ALLAN",DEM,"1,287",19.38
NORTHUMBERLAND,"ROMMEL, NANCI  ALLAN",DEM,"2,195",19.75
PERRY,"ROMMEL, NANCI  ALLAN",DEM,"1,732",19.30
POTTER,"ROMMEL, NANCI  ALLAN",DEM,552,20.75
SNYDER,"ROMMEL, NANCI  ALLAN",DEM,"1,399",20.43
SULLIVAN,"ROMMEL, NANCI  ALLAN",DEM,376,20.40
SUSQUEHANNA,"ROMMEL, NANCI  ALLAN",DEM,"1,785",20.86
TIOGA,"ROMMEL, NANCI  ALLAN",DEM,"1,377",19.86
UNION,"ROMMEL, NANCI  ALLAN",DEM,"2,191",19.42
WYOMING,"ROMMEL, NANCI  ALLAN",DEM,"1,418",20.42
BRADFORD,"BIERLY, KEITH",DEM,"1,795",18.14
CENTRE,"BIERLY, KEITH",DEM,"7,244",17.81
CLINTON,"BIERLY, KEITH",DEM,"1,911",19.53
JUNIATA,"BIERLY, KEITH",DEM,682,18.28
LYCOMING,"BIERLY, KEITH",DEM,"4,292",17.65
MIFFLIN,"BIERLY, KEITH",DEM,"1,242",18.70
NORTHUMBERLAND,"BIERLY, KEITH",DEM,"2,024",18.21
PERRY,"BIERLY, KEITH",DEM,"1,627",18.13
POTTER,"BIERLY, KEITH",DEM,480,18.05
SNYDER,"BIERLY, KEITH",DEM,"1,235",18.03
SULLIVAN,"BIERLY, KEITH",DEM,349,18.94
SUSQUEHANNA,"BIERLY, KEITH",DEM,"1,587",18.54
TIOGA,"BIERLY, KEITH",DEM,"1,222",17.63
UNION,"BIERLY, KEITH",DEM,"2,033",18.02
WYOMING,"BIERLY, KEITH",DEM,"1,238",17.83
BRADFORD,"DELGREGO, RACHEL  MARIA",DEM,701,7.09
CENTRE,"DELGREGO, RACHEL  MARIA",DEM,"3,353",8.24
CLINTON,"DELGREGO, RACHEL  MARIA",DEM,718,7.34
JUNIATA,"DELGREGO, RACHEL  MARIA",DEM,253,6.78
LYCOMING,"DELGREGO, RACHEL  MARIA",DEM,"1,875",7.71
MIFFLIN,"DELGREGO, RACHEL  MARIA",DEM,479,7.21
NORTHUMBERLAND,"DELGREGO, RACHEL  MARIA",DEM,817,7.35
PERRY,"DELGREGO, RACHEL  MARIA",DEM,682,7.60
POTTER,"DELGREGO, RACHEL  MARIA",DEM,198,7.44
SNYDER,"DELGREGO, RACHEL  MARIA",DEM,522,7.62
SULLIVAN,"DELGREGO, RACHEL  MARIA",DEM,123,6.67
SUSQUEHANNA,"DELGREGO, RACHEL  MARIA",DEM,568,6.64
TIOGA,"DELGREGO, RACHEL  MARIA",DEM,530,7.65
UNION,"DELGREGO, RACHEL  MARIA",DEM,825,7.31
WYOMING,"DELGREGO, RACHEL  MARIA",DEM,492,7.08
BRADFORD,"THOMAS, RICHARD  B",DEM,"1,801",18.20
CENTRE,"THOMAS, RICHARD  B",DEM,"6,663",16.38
CLINTON,"THOMAS, RICHARD  B",DEM,"1,729",17.67
JUNIATA,"THOMAS, RICHARD  B",DEM,654,17.53
LYCOMING,"THOMAS, RICHARD  B",DEM,"4,242",17.45
MIFFLIN,"THOMAS, RICHARD  B",DEM,"1,187",17.87
NORTHUMBERLAND,"THOMAS, RICHARD  B",DEM,"2,015",18.13
PERRY,"THOMAS, RICHARD  B",DEM,"1,558",17.37
POTTER,"THOMAS, RICHARD  B",DEM,481,18.08
SNYDER,"THOMAS, RICHARD  B",DEM,"1,226",17.90
SULLIVAN,"THOMAS, RICHARD  B",DEM,356,19.32
SUSQUEHANNA,"THOMAS, RICHARD  B",DEM,"1,579",18.45
TIOGA,"THOMAS, RICHARD  B",DEM,"1,209",17.44
UNION,"THOMAS, RICHARD  B",DEM,"2,080",18.44
WYOMING,"THOMAS, RICHARD  B",DEM,"1,235",17.78
BRADFORD,"RIES, CAROLINE  E",DEM,634,6.41
CENTRE,"RIES, CAROLINE  E",DEM,"3,185",7.83
CLINTON,"RIES, CAROLINE  E",DEM,632,6.46
JUNIATA,"RIES, CAROLINE  E",DEM,227,6.08
LYCOMING,"RIES, CAROLINE  E",DEM,"1,744",7.17
MIFFLIN,"RIES, CAROLINE  E",DEM,421,6.34
NORTHUMBERLAND,"RIES, CAROLINE  E",DEM,756,6.80
PERRY,"RIES, CAROLINE  E",DEM,602,6.71
POTTER,"RIES, CAROLINE  E",DEM,172,6.47
SNYDER,"RIES, CAROLINE  E",DEM,444,6.48
SULLIVAN,"RIES, CAROLINE  E",DEM,100,5.43
SUSQUEHANNA,"RIES, CAROLINE  E",DEM,499,5.83
TIOGA,"RIES, CAROLINE  E",DEM,466,6.72
UNION,"RIES, CAROLINE  E",DEM,737,6.53
WYOMING,"RIES, CAROLINE  E",DEM,477,6.87
BRADFORD,"HART, KIMBERLY  M",DEM,"1,952",19.73
CENTRE,"HART, KIMBERLY  M",DEM,"7,205",17.71
CLINTON,"HART, KIMBERLY  M",DEM,"1,841",18.81
JUNIATA,"HART, KIMBERLY  M",DEM,836,22.41
LYCOMING,"HART, KIMBERLY  M",DEM,"4,502",18.52
MIFFLIN,"HART, KIMBERLY  M",DEM,"1,273",19.17
NORTHUMBERLAND,"HART, KIMBERLY  M",DEM,"2,126",19.13
PERRY,"HART, KIMBERLY  M",DEM,"1,754",19.55
