County,Candidate Name,Party,Votes,% of Vote
POTTER,"HART, KIMBERLY  M",DEM,521,19.59
SNYDER,"HART, KIMBERLY  M",DEM,"1,342",19.60
SULLIVAN,"HART, KIMBERLY  M",DEM,363,19.70
SUSQUEHANNA,"HART, KIMBERLY  M",DEM,"1,733",20.25
TIOGA,"HART, KIMBERLY  M",DEM,"1,367",19.72
UNION,"HART, KIMBERLY  M",DEM,"2,168",19.22
WYOMING,"HART, KIMBERLY  M",DEM,"1,372",19.76
BRADFORD,"SAMARTH, TARAN  N",DEM,504,5.09
CENTRE,"SAMARTH, TARAN  N",DEM,"2,927",7.20
CLINTON,"SAMARTH, TARAN  N",DEM,520,5.31
JUNIATA,"SAMARTH, TARAN  N",DEM,199,5.33
LYCOMING,"SAMARTH, TARAN  N",DEM,"1,511",6.21
MIFFLIN,"SAMARTH, TARAN  N",DEM,374,5.63
NORTHUMBERLAND,"SAMARTH, TARAN  N",DEM,594,5.34
PERRY,"SAMARTH, TARAN  N",DEM,514,5.73
POTTER,"SAMARTH, TARAN  N",DEM,129,4.85
SNYDER,"SAMARTH, TARAN  N",DEM,347,5.07
SULLIVAN,"SAMARTH, TARAN  N",DEM,88,4.77
SUSQUEHANNA,"SAMARTH, TARAN  N",DEM,403,4.71
TIOGA,"SAMARTH, TARAN  N",DEM,381,5.50
UNION,"SAMARTH, TARAN  N",DEM,651,5.77
WYOMING,"SAMARTH, TARAN  N",DEM,351,5.05
BRADFORD,"MULDOWNEY, DANIEL",DEM,497,5.02
CENTRE,"MULDOWNEY, DANIEL",DEM,"2,615",6.43
CLINTON,"MULDOWNEY, DANIEL",DEM,526,5.37
JUNIATA,"MULDOWNEY, DANIEL",DEM,203,5.44
LYCOMING,"MULDOWNEY, DANIEL",DEM,"1,377",5.66
MIFFLIN,"MULDOWNEY, DANIEL",DEM,378,5.69
NORTHUMBERLAND,"MULDOWNEY, DANIEL",DEM,588,5.29
PERRY,"MULDOWNEY, DANIEL",DEM,503,5.61
POTTER,"MULDOWNEY, DANIEL",DEM,127,4.77
SNYDER,"MULDOWNEY, DANIEL",DEM,333,4.86
SULLIVAN,"MULDOWNEY, DANIEL",DEM,88,4.77
SUSQUEHANNA,"MULDOWNEY, DANIEL",DEM,404,4.72
TIOGA,"MULDOWNEY, DANIEL",DEM,380,5.48
UNION,"MULDOWNEY, DANIEL",DEM,595,5.27
WYOMING,"MULDOWNEY, DANIEL",DEM,362,5.21
