County,Candidate Name,Party,Votes,% of Vote
ARMSTRONG,"SMEAD, RICHARD  E",REP,"3,023",17.39
BUTLER,"SMEAD, RICHARD  E",REP,"1,929",16.07
CAMBRIA,"SMEAD, RICHARD  E",REP,"3,727",15.31
CAMERON,"SMEAD, RICHARD  E",REP,279,17.09
CENTRE,"SMEAD, RICHARD  E",REP,"4,012",21.62
CLARION,"SMEAD, RICHARD  E",REP,"2,277",16.94
CLEARFIELD,"SMEAD, RICHARD  E",REP,"4,045",16.86
ELK,"SMEAD, RICHARD  E",REP,"1,796",17.78
FOREST,"SMEAD, RICHARD  E",REP,361,18.60
INDIANA,"SMEAD, RICHARD  E",REP,"3,597",16.62
JEFFERSON,"SMEAD, RICHARD  E",REP,"2,919",17.17
McKEAN,"SMEAD, RICHARD  E",REP,"2,684",22.09
VENANGO,"SMEAD, RICHARD  E",REP,"2,662",19.40
WARREN,"SMEAD, RICHARD  E",REP,"1,720",17.02
ARMSTRONG,"SHEESLEY, ROBERT  KEITH",REP,"3,779",21.74
BUTLER,"SHEESLEY, ROBERT  KEITH",REP,"1,604",13.36
CAMBRIA,"SHEESLEY, ROBERT  KEITH",REP,"5,135",21.09
CAMERON,"SHEESLEY, ROBERT  KEITH",REP,267,16.35
CENTRE,"SHEESLEY, ROBERT  KEITH",REP,"3,432",18.50
CLARION,"SHEESLEY, ROBERT  KEITH",REP,"2,379",17.70
CLEARFIELD,"SHEESLEY, ROBERT  KEITH",REP,"4,598",19.16
ELK,"SHEESLEY, ROBERT  KEITH",REP,"1,941",19.22
FOREST,"SHEESLEY, ROBERT  KEITH",REP,303,15.61
INDIANA,"SHEESLEY, ROBERT  KEITH",REP,"5,758",26.61
JEFFERSON,"SHEESLEY, ROBERT  KEITH",REP,"3,980",23.41
McKEAN,"SHEESLEY, ROBERT  KEITH",REP,"1,873",15.42
VENANGO,"SHEESLEY, ROBERT  KEITH",REP,"2,213",16.13
WARREN,"SHEESLEY, ROBERT  KEITH",REP,"1,086",10.75
ARMSTRONG,"VASILKO, JAMES  J",REP,"2,967",17.07
BUTLER,"VASILKO, JAMES  J",REP,"1,827",15.22
CAMBRIA,"VASILKO, JAMES  J",REP,"5,992",24.61
CAMERON,"VASILKO, JAMES  J",REP,258,15.80
CENTRE,"VASILKO, JAMES  J",REP,"2,701",14.56
CLARION,"VASILKO, JAMES  J",REP,"1,616",12.02
CLEARFIELD,"VASILKO, JAMES  J",REP,"3,650",15.21
ELK,"VASILKO, JAMES  J",REP,"1,565",15.50
FOREST,"VASILKO, JAMES  J",REP,284,14.63
INDIANA,"VASILKO, JAMES  J",REP,"3,297",15.24
JEFFERSON,"VASILKO, JAMES  J",REP,"2,505",14.74
McKEAN,"VASILKO, JAMES  J",REP,"1,866",15.36
VENANGO,"VASILKO, JAMES  J",REP,"2,201",16.04
WARREN,"VASILKO, JAMES  J",REP,"1,247",12.34
ARMSTRONG,"LAYNG, KENNETH  MCCLELLAND",REP,"1,241",7.14
BUTLER,"LAYNG, KENNETH  MCCLELLAND",REP,751,6.26
CAMBRIA,"LAYNG, KENNETH  MCCLELLAND",REP,"1,964",8.07
CAMERON,"LAYNG, KENNETH  MCCLELLAND",REP,124,7.59
CENTRE,"LAYNG, KENNETH  MCCLELLAND",REP,"1,596",8.60
CLARION,"LAYNG, KENNETH  MCCLELLAND",REP,897,6.67
CLEARFIELD,"LAYNG, KENNETH  MCCLELLAND",REP,"2,162",9.01
ELK,"LAYNG, KENNETH  MCCLELLAND",REP,864,8.56
FOREST,"LAYNG, KENNETH  MCCLELLAND",REP,164,8.45
INDIANA,"LAYNG, KENNETH  MCCLELLAND",REP,"1,534",7.09
JEFFERSON,"LAYNG, KENNETH  MCCLELLAND",REP,"1,194",7.02
McKEAN,"LAYNG, KENNETH  MCCLELLAND",REP,"1,050",8.64
VENANGO,"LAYNG, KENNETH  MCCLELLAND",REP,"1,174",8.56
WARREN,"LAYNG, KENNETH  MCCLELLAND",REP,570,5.64
ARMSTRONG,"MUSTELLO, MICHELE  M",REP,"2,945",16.94
BUTLER,"MUSTELLO, MICHELE  M",REP,"4,220",35.15
CAMBRIA,"MUSTELLO, MICHELE  M",REP,"4,184",17.18
CAMERON,"MUSTELLO, MICHELE  M",REP,316,19.35
CENTRE,"MUSTELLO, MICHELE  M",REP,"3,428",18.48
CLARION,"MUSTELLO, MICHELE  M",REP,"2,251",16.75
CLEARFIELD,"MUSTELLO, MICHELE  M",REP,"4,259",17.75
ELK,"MUSTELLO, MICHELE  M",REP,"1,953",19.34
FOREST,"MUSTELLO, MICHELE  M",REP,325,16.74
INDIANA,"MUSTELLO, MICHELE  M",REP,"3,397",15.70
JEFFERSON,"MUSTELLO, MICHELE  M",REP,"2,670",15.71
McKEAN,"MUSTELLO, MICHELE  M",REP,"2,116",17.42
VENANGO,"MUSTELLO, MICHELE  M",REP,"2,488",18.14
WARREN,"MUSTELLO, MICHELE  M",REP,"1,288",12.75
ARMSTRONG,"KHARE, ASH",REP,868,4.99
BUTLER,"KHARE, ASH",REP,548,4.56
CAMBRIA,"KHARE, ASH",REP,"1,174",4.82
CAMERON,"KHARE, ASH",REP,178,10.90
CENTRE,"KHARE, ASH",REP,"1,354",7.30
CLARION,"KHARE, ASH",REP,890,6.62
CLEARFIELD,"KHARE, ASH",REP,"1,825",7.60
ELK,"KHARE, ASH",REP,785,7.77
FOREST,"KHARE, ASH",REP,232,11.95
INDIANA,"KHARE, ASH",REP,"1,130",5.22
JEFFERSON,"KHARE, ASH",REP,"1,127",6.63
McKEAN,"KHARE, ASH",REP,"1,063",8.75
VENANGO,"KHARE, ASH",REP,"1,142",8.32
WARREN,"KHARE, ASH",REP,"2,810",27.81
ARMSTRONG,"HAWK, R.  SHANELLE",REP,"2,558",14.72
BUTLER,"HAWK, R.  SHANELLE",REP,"1,127",9.39
CAMBRIA,"HAWK, R.  SHANELLE",REP,"2,172",8.92
CAMERON,"HAWK, R.  SHANELLE",REP,211,12.92
CENTRE,"HAWK, R.  SHANELLE",REP,"2,031",10.95
CLARION,"HAWK, R.  SHANELLE",REP,"3,129",23.28
CLEARFIELD,"HAWK, R.  SHANELLE",REP,"3,459",14.41
ELK,"HAWK, R.  SHANELLE",REP,"1,195",11.83
FOREST,"HAWK, R.  SHANELLE",REP,272,14.01
INDIANA,"HAWK, R.  SHANELLE",REP,"2,926",13.52
JEFFERSON,"HAWK, R.  SHANELLE",REP,"2,603",15.31
McKEAN,"HAWK, R.  SHANELLE",REP,"1,497",12.32
VENANGO,"HAWK, R.  SHANELLE",REP,"1,839",13.40
WARREN,"HAWK, R.  SHANELLE",REP,"1,384",13.70
