County,Candidate Name,Party,Votes,% of Vote
BERKS,"CAPELLAN, RAQUEL  JACQUELYN",DEM,"6,989",7.07
CHESTER,"CAPELLAN, RAQUEL  JACQUELYN",DEM,"22,583",6.14
BERKS,"MCGINNIS, BRIAN  J",DEM,"12,837",12.99
CHESTER,"MCGINNIS, BRIAN  J",DEM,"53,300",14.49
BERKS,"SERENI ,  AYISHA   E",DEM,"6,052",6.12
CHESTER,"SERENI ,  AYISHA   E",DEM,"21,628",5.88
BERKS,"BINGHAM, RICHARD  C",DEM,"12,223",12.37
CHESTER,"BINGHAM, RICHARD  C",DEM,"51,411",13.98
BERKS,"MYERS, LUKE",DEM,"4,806",4.86
CHESTER,"MYERS, LUKE",DEM,"14,286",3.88
BERKS,"HERTZOG, SERENA  G",DEM,"6,110",6.18
CHESTER,"HERTZOG, SERENA  G",DEM,"21,874",5.95
BERKS,"TOOLE, JANET  SORIANO",DEM,"5,878",5.95
CHESTER,"TOOLE, JANET  SORIANO",DEM,"20,773",5.65
BERKS,"BINNS, AUSTIN  HOWARD",DEM,"4,041",4.09
CHESTER,"BINNS, AUSTIN  HOWARD",DEM,"11,821",3.21
BERKS,"HERMAN, TOM",DEM,"12,502",12.65
CHESTER,"HERMAN, TOM",DEM,"51,913",14.11
BERKS,"HELLMANN, JOHN  J",DEM,"3,514",3.56
CHESTER,"HELLMANN, JOHN  J",DEM,"10,390",2.82
BERKS,"ELLIS, REBECCA  A",DEM,"6,309",6.38
CHESTER,"ELLIS, REBECCA  A",DEM,"21,025",5.72
BERKS,"MOSKOWITZ, MARIAN  D",DEM,"12,921",13.08
CHESTER,"MOSKOWITZ, MARIAN  D",DEM,"55,851",15.19
BERKS,"PENA, JIMMY",DEM,"4,636",4.69
CHESTER,"PENA, JIMMY",DEM,"10,938",2.97
