County,Candidate Name,Party,Votes,% of Vote
ALLEGHENY,"DERMODY, FRANCIS  J",DEM,"65,287",11.70
BEAVER,"DERMODY, FRANCIS  J",DEM,"14,703",11.56
BUTLER,"DERMODY, FRANCIS  J",DEM,"1,447",12.15
ALLEGHENY,"PERELMAN, SHARON  W",DEM,"66,862",11.99
BEAVER,"PERELMAN, SHARON  W",DEM,"15,162",11.92
BUTLER,"PERELMAN, SHARON  W",DEM,"1,514",12.71
ALLEGHENY,"PANDOLFO, CAROLYN  ANN",DEM,"27,331",4.90
BEAVER,"PANDOLFO, CAROLYN  ANN",DEM,"6,053",4.76
BUTLER,"PANDOLFO, CAROLYN  ANN",DEM,509,4.27
ALLEGHENY,"PRIZIO, ANITA",DEM,"27,240",4.88
BEAVER,"PRIZIO, ANITA",DEM,"5,910",4.65
BUTLER,"PRIZIO, ANITA",DEM,498,4.18
ALLEGHENY,"LINSENMAYER, RAY",DEM,"60,509",10.85
BEAVER,"LINSENMAYER, RAY",DEM,"13,629",10.71
BUTLER,"LINSENMAYER, RAY",DEM,"1,370",11.50
ALLEGHENY,"WINOWICH-ZMIJANAC, MICHELLE  N",DEM,"63,983",11.47
BEAVER,"WINOWICH-ZMIJANAC, MICHELLE  N",DEM,"14,566",11.45
BUTLER,"WINOWICH-ZMIJANAC, MICHELLE  N",DEM,"1,452",12.19
ALLEGHENY,"TURICI, DEBRA  L",DEM,"65,217",11.69
BEAVER,"TURICI, DEBRA  L",DEM,"15,086",11.86
BUTLER,"TURICI, DEBRA  L",DEM,"1,503",12.62
ALLEGHENY,"GORE, TIA  LYNN",DEM,"25,250",4.53
BEAVER,"GORE, TIA  LYNN",DEM,"5,592",4.40
BUTLER,"GORE, TIA  LYNN",DEM,438,3.68
ALLEGHENY,"SEKTNAN, JOSHUA  T",DEM,"58,890",10.56
BEAVER,"SEKTNAN, JOSHUA  T",DEM,"13,290",10.45
BUTLER,"SEKTNAN, JOSHUA  T",DEM,"1,357",11.39
ALLEGHENY,"SALVADEO, ALICIA  NICOLE",DEM,"25,391",4.55
BEAVER,"SALVADEO, ALICIA  NICOLE",DEM,"5,618",4.42
BUTLER,"SALVADEO, ALICIA  NICOLE",DEM,458,3.84
ALLEGHENY,"DAVIDSON, CARL  A",DEM,"17,943",3.22
BEAVER,"DAVIDSON, CARL  A",DEM,"4,283",3.37
BUTLER,"DAVIDSON, CARL  A",DEM,323,2.71
ALLEGHENY,"DELUZIO, CHRISTOPHER  RAPHAEL",DEM,"18,629",3.34
BEAVER,"DELUZIO, CHRISTOPHER  RAPHAEL",DEM,"4,318",3.39
BUTLER,"DELUZIO, CHRISTOPHER  RAPHAEL",DEM,352,2.95
ALLEGHENY,"BOSH, ANDREW  J",DEM,"17,548",3.15
BEAVER,"BOSH, ANDREW  J",DEM,"4,679",3.68
BUTLER,"BOSH, ANDREW  J",DEM,353,2.96
ALLEGHENY,"PRICE, JONATHAN  EDWARD",DEM,"17,711",3.18
BEAVER,"PRICE, JONATHAN  EDWARD",DEM,"4,317",3.39
BUTLER,"PRICE, JONATHAN  EDWARD",DEM,340,2.85
