County,Candidate Name,Party,Votes,% of Vote
JEFFERSON,"CARR, ABIGAIL  J",DEM,618,9.42
McKEAN,"CARR, ABIGAIL  J",DEM,500,8.55
VENANGO,"CARR, ABIGAIL  J",DEM,"1,037",9.44
WARREN,"CARR, ABIGAIL  J",DEM,528,7.31
ARMSTRONG,"CLOAK, RANDALL  ROSS",DEM,648,11.48
BUTLER,"CLOAK, RANDALL  ROSS",DEM,479,6.08
CAMBRIA,"CLOAK, RANDALL  ROSS",DEM,"1,895",7.04
CAMERON,"CLOAK, RANDALL  ROSS",DEM,72,7.96
CENTRE,"CLOAK, RANDALL  ROSS",DEM,"1,666",7.61
CLARION,"CLOAK, RANDALL  ROSS",DEM,455,6.32
CLEARFIELD,"CLOAK, RANDALL  ROSS",DEM,995,6.25
ELK,"CLOAK, RANDALL  ROSS",DEM,402,4.70
FOREST,"CLOAK, RANDALL  ROSS",DEM,41,3.70
INDIANA,"CLOAK, RANDALL  ROSS",DEM,"1,166",5.82
JEFFERSON,"CLOAK, RANDALL  ROSS",DEM,432,6.58
McKEAN,"CLOAK, RANDALL  ROSS",DEM,347,5.93
VENANGO,"CLOAK, RANDALL  ROSS",DEM,644,5.86
WARREN,"CLOAK, RANDALL  ROSS",DEM,357,4.94
