County,Candidate Name,Party,Votes,% of Vote
FAYETTE,"KONOPISOS , CASEY  LYNN",DEM,"2,286",6.61
GREENE,"KONOPISOS , CASEY  LYNN",DEM,917,7.79
WASHINGTON,"KONOPISOS , CASEY  LYNN",DEM,"5,909",7.36
WESTMORELAND,"KONOPISOS , CASEY  LYNN",DEM,"9,550",7.70
FAYETTE,"BOERIO, BIBIANA",DEM,"7,781",22.50
GREENE,"BOERIO, BIBIANA",DEM,"2,364",20.09
WASHINGTON,"BOERIO, BIBIANA",DEM,"17,773",22.13
WESTMORELAND,"BOERIO, BIBIANA",DEM,"26,595",21.45
FAYETTE,"MASON, ROBERT  A",DEM,"2,188",6.33
GREENE,"MASON, ROBERT  A",DEM,983,8.36
WASHINGTON,"MASON, ROBERT  A",DEM,"5,429",6.76
WESTMORELAND,"MASON, ROBERT  A",DEM,"8,241",6.65
FAYETTE,"CORDARO, MICHAEL  GUY",DEM,"2,598",7.51
GREENE,"CORDARO, MICHAEL  GUY",DEM,829,7.05
WASHINGTON,"CORDARO, MICHAEL  GUY",DEM,"5,598",6.97
WESTMORELAND,"CORDARO, MICHAEL  GUY",DEM,"8,895",7.18
FAYETTE,"SESEK, CHRISTIAN  ELIJAH",DEM,"8,055",23.29
GREENE,"SESEK, CHRISTIAN  ELIJAH",DEM,"2,356",20.03
WASHINGTON,"SESEK, CHRISTIAN  ELIJAH",DEM,"17,598",21.91
WESTMORELAND,"SESEK, CHRISTIAN  ELIJAH",DEM,"25,657",20.70
FAYETTE,"FOLEY, JANICE  W",DEM,"2,894",8.37
GREENE,"FOLEY, JANICE  W",DEM,"1,106",9.40
WASHINGTON,"FOLEY, JANICE  W",DEM,"7,562",9.42
WESTMORELAND,"FOLEY, JANICE  W",DEM,"11,842",9.55
FAYETTE,"CAMPBELL, BRAYDEN  ELLSWORTH",DEM,"1,934",5.59
GREENE,"CAMPBELL, BRAYDEN  ELLSWORTH",DEM,786,6.68
WASHINGTON,"CAMPBELL, BRAYDEN  ELLSWORTH",DEM,"4,352",5.42
WESTMORELAND,"CAMPBELL, BRAYDEN  ELLSWORTH",DEM,"7,661",6.18
FAYETTE,"REGOTTI, NATHAN  W",DEM,"6,847",19.80
GREENE,"REGOTTI, NATHAN  W",DEM,"2,424",20.60
WASHINGTON,"REGOTTI, NATHAN  W",DEM,"16,084",20.03
WESTMORELAND,"REGOTTI, NATHAN  W",DEM,"25,531",20.59
