County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
BEAVER,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
BEDFORD,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
BERKS,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
BLAIR,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
BRADFORD,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
BUCKS,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
BUTLER,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
CAMBRIA,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
CAMERON,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
CARBON,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
CENTRE,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
CHESTER,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
CLARION,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
CLEARFIELD,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
CLINTON,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
COLUMBIA,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
CRAWFORD,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
CUMBERLAND,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
DAUPHIN,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
DELAWARE,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
ELK,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
ERIE,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
FAYETTE,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
FOREST,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
FRANKLIN,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
FULTON,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
GREENE,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
HUNTINGDON,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
INDIANA,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
JEFFERSON,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
JUNIATA,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
LACKAWANNA,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
LANCASTER,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
LAWRENCE,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
LEBANON,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
LEHIGH,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
LUZERNE,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
LYCOMING,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
McKEAN,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
MERCER,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
MIFFLIN,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
MONROE,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
MONTGOMERY,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
MONTOUR,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
NORTHAMPTON,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
NORTHUMBERLAND,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
PERRY,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
PHILADELPHIA,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
PIKE,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
POTTER,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
SCHUYLKILL,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
SNYDER,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
SOMERSET,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
SULLIVAN,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
SUSQUEHANNA,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
TIOGA,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
UNION,"TRUMP, DONALD  J.",REP,0,0,0,0,0.00
