County,Candidate Name,Party,Votes,% of Vote
SCHUYLKILL,"SYMONS, PETER  JAMES",DEM,"4,495",100.00
SCHUYLKILL,"LESHKO, JOHN  THOMAS",REP,"2,028",35.96
SCHUYLKILL,"TWARDZIK, TIMOTHY  F",REP,"3,612",64.04
