County,Candidate Name,Party,Votes,% of Vote
BERKS,"LINKMEYER, PAUL  J",REP,"8,763",27.71
CHESTER,"LINKMEYER, PAUL  J",REP,"31,069",28.91
BERKS,"ROWE, LISHA  L",REP,"6,617",20.93
CHESTER,"ROWE, LISHA  L",REP,"19,237",17.90
BERKS,"YANOVIAK, BRIAN  DAVID",REP,"8,498",26.87
CHESTER,"YANOVIAK, BRIAN  DAVID",REP,"28,225",26.27
BERKS,"TALUCCI, VINCENT  M.",REP,"7,744",24.49
CHESTER,"TALUCCI, VINCENT  M.",REP,"28,924",26.92
