County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
ALLEGHENY,"INNAMORATO, SARA",DEM,0,0,0,0,0.00
ALLEGHENY,"WAUGH, JOHN  FRANKLIN",REP,0,0,0,0,0.00
