County,Candidate Name,Party,Votes,% of Vote
ALLEGHENY,"LAMB, CONOR  J",DEM,"89,388",100.00
BEAVER,"LAMB, CONOR  J",DEM,"20,454",100.00
BUTLER,"LAMB, CONOR  J",DEM,"1,952",100.00
ALLEGHENY,"PARNELL, RICHARD  SEAN",REP,"44,002",100.00
BEAVER,"PARNELL, RICHARD  SEAN",REP,"13,990",100.00
BUTLER,"PARNELL, RICHARD  SEAN",REP,"2,234",100.00
