County,Candidate Name,Party,Votes,% of Vote
CHESTER,"ZIMMERMAN, JOHN  BENJAMIN",DEM,0,0.00
DELAWARE,"ZIMMERMAN, JOHN  BENJAMIN",DEM,"44,829",100.00
MONTGOMERY,"ZIMMERMAN, JOHN  BENJAMIN",DEM,"4,885",100.00
PHILADELPHIA,"ZIMMERMAN, JOHN  BENJAMIN",DEM,"7,923",100.00
