County,Candidate Name,Party,Votes,% of Vote
CUMBERLAND,"COPLEN, RICHARD  CHASE",DEM,"10,496",47.27
YORK,"COPLEN, RICHARD  CHASE",DEM,"1,080",19.92
CUMBERLAND,"DANIELSON, SHANNA",DEM,"7,907",35.61
YORK,"DANIELSON, SHANNA",DEM,"4,033",74.40
CUMBERLAND,"BOSHA, JOHN  D",DEM,"3,800",17.11
YORK,"BOSHA, JOHN  D",DEM,308,5.68
CUMBERLAND,"REGAN, MICHAEL",REP,"24,514",100.00
YORK,"REGAN, MICHAEL",REP,"10,419",100.00
