County,Candidate Name,Party,Votes,% of Vote
CRAWFORD,"FERRENCE, MATTHEW",DEM,"3,117",100.00
ERIE,"FERRENCE, MATTHEW",DEM,"1,642",100.00
CRAWFORD,"ROAE, BRADLEY  T",REP,"4,594",100.00
ERIE,"ROAE, BRADLEY  T",REP,"1,792",100.00
