County,Candidate Name,Party,Votes,% of Vote
CUMBERLAND,"BUTLER, TIMOTHY",DEM,"7,613",7.46
DAUPHIN,"BUTLER, TIMOTHY",DEM,"9,771",7.26
YORK,"BUTLER, TIMOTHY",DEM,"6,504",7.66
CUMBERLAND,"OSSAI, ONAH  RUTH",DEM,"7,580",7.43
DAUPHIN,"OSSAI, ONAH  RUTH",DEM,"9,696",7.21
YORK,"OSSAI, ONAH  RUTH",DEM,"5,815",6.85
CUMBERLAND,"DOUBET, DANIEL  E",DEM,"6,331",6.21
DAUPHIN,"DOUBET, DANIEL  E",DEM,"7,485",5.57
YORK,"DOUBET, DANIEL  E",DEM,"5,008",5.90
CUMBERLAND,"ROHRBAUGH, NANCY  L",DEM,"10,147",9.95
DAUPHIN,"ROHRBAUGH, NANCY  L",DEM,"11,830",8.80
YORK,"ROHRBAUGH, NANCY  L",DEM,"8,078",9.51
CUMBERLAND,"FEDOR, MICHAEL   J",DEM,"17,226",16.89
DAUPHIN,"FEDOR, MICHAEL   J",DEM,"24,187",17.98
YORK,"FEDOR, MICHAEL   J",DEM,"14,960",17.61
CUMBERLAND,"VITALE, DAVID",DEM,"16,716",16.39
DAUPHIN,"VITALE, DAVID",DEM,"24,024",17.86
YORK,"VITALE, DAVID",DEM,"14,649",17.24
CUMBERLAND,"IWANCIO, THOMAS  ALLEN",DEM,"6,360",6.24
DAUPHIN,"IWANCIO, THOMAS  ALLEN",DEM,"7,051",5.24
YORK,"IWANCIO, THOMAS  ALLEN",DEM,"4,629",5.45
CUMBERLAND,"VAZQUEZ-CARRERO, THAIS  MICHELLE",DEM,"7,386",7.24
DAUPHIN,"VAZQUEZ-CARRERO, THAIS  MICHELLE",DEM,"9,412",7.00
YORK,"VAZQUEZ-CARRERO, THAIS  MICHELLE",DEM,"5,922",6.97
CUMBERLAND,"CAPPAWANA, MICHAEL  DRUE",DEM,"6,569",6.44
DAUPHIN,"CAPPAWANA, MICHAEL  DRUE",DEM,"7,821",5.81
YORK,"CAPPAWANA, MICHAEL  DRUE",DEM,"4,990",5.87
CUMBERLAND,"SUPLER, RYAN",DEM,"16,060",15.75
DAUPHIN,"SUPLER, RYAN",DEM,"23,222",17.27
YORK,"SUPLER, RYAN",DEM,"14,393",16.94
