County,Candidate Name,Party,Votes,% of Vote
LANCASTER,"EDGELL, LAUREN  M",DEM,"18,549",14.03
YORK,"EDGELL, LAUREN  M",DEM,"4,119",10.68
LANCASTER,"BOOTH, ELIZA  J",DEM,"18,097",13.68
YORK,"BOOTH, ELIZA  J",DEM,"4,136",10.72
LANCASTER,"GREGG, ZAKARY  ROSS",DEM,"11,154",8.43
YORK,"GREGG, ZAKARY  ROSS",DEM,"2,627",6.81
LANCASTER,"HOWER, BRYAN  KEITH",DEM,"27,455",20.76
YORK,"HOWER, BRYAN  KEITH",DEM,"7,886",20.44
LANCASTER,"TORRES, NELLY  I",DEM,"16,911",12.79
YORK,"TORRES, NELLY  I",DEM,"8,821",22.87
LANCASTER,"MAGUIRE, MICHAEL  P",DEM,"27,255",20.61
YORK,"MAGUIRE, MICHAEL  P",DEM,"7,892",20.46
LANCASTER,"SMUCKER, JONATHAN  M",DEM,"12,821",9.70
YORK,"SMUCKER, JONATHAN  M",DEM,"3,096",8.03
