County,Candidate Name,Party,Votes,% of Vote
BEAVER,"KRIZAN, STEPHEN  JOHN",DEM,"16,157",100.00
BUTLER,"KRIZAN, STEPHEN  JOHN",DEM,"1,262",100.00
LAWRENCE,"KRIZAN, STEPHEN  JOHN",DEM,"7,353",100.00
BEAVER,"VOGEL , ELDER  A",REP,"13,095",100.00
BUTLER,"VOGEL , ELDER  A",REP,"2,416",100.00
LAWRENCE,"VOGEL , ELDER  A",REP,"8,071",100.00
